seat_number,seat_coordinates,status,snapshot,status,date_time,snapshot_1,snapshot_1_time,snapshot_2,snapshot_2_time,snapshot_3,snapshot_3_time
1,"[308, 502, 358, 522]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:38
2,"[361, 546, 593, 830]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
3,"[360, 601, 988, 1163]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
4,"[429, 641, 1290, 1557]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
5,"[175, 284, 265, 431]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
6,"[179, 293, 478, 596]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
7,"[184, 345, 647, 844]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
8,"[215, 353, 898, 1079]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
9,"[235, 384, 1171, 1328]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
10,"[255, 410, 1422, 1600]",Absent,,Absent,,Absent,18-07-2024 11:31,Absent,18-07-2024 11:35,Absent,18-07-2024 11:39
