seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[308, 502, 358, 522]",snapshot_1,Absent,18-07-2024 11:31
2,"[361, 546, 593, 830]",snapshot_1,Absent,18-07-2024 11:31
3,"[360, 601, 988, 1163]",snapshot_1,Absent,18-07-2024 11:31
4,"[429, 641, 1290, 1557]",snapshot_1,Absent,18-07-2024 11:31
5,"[175, 284, 265, 431]",snapshot_1,Absent,18-07-2024 11:31
6,"[179, 293, 478, 596]",snapshot_1,Absent,18-07-2024 11:31
7,"[184, 345, 647, 844]",snapshot_1,Absent,18-07-2024 11:31
8,"[215, 353, 898, 1079]",snapshot_1,Absent,18-07-2024 11:31
9,"[235, 384, 1171, 1328]",snapshot_1,Absent,18-07-2024 11:31
10,"[255, 410, 1422, 1600]",snapshot_1,Absent,18-07-2024 11:31
1,"[308, 502, 358, 522]",snapshot_2,Absent,18-07-2024 11:35
2,"[361, 546, 593, 830]",snapshot_2,Absent,18-07-2024 11:35
3,"[360, 601, 988, 1163]",snapshot_2,Absent,18-07-2024 11:35
4,"[429, 641, 1290, 1557]",snapshot_2,Absent,18-07-2024 11:35
5,"[175, 284, 265, 431]",snapshot_2,Absent,18-07-2024 11:35
6,"[179, 293, 478, 596]",snapshot_2,Absent,18-07-2024 11:35
7,"[184, 345, 647, 844]",snapshot_2,Absent,18-07-2024 11:35
8,"[215, 353, 898, 1079]",snapshot_2,Absent,18-07-2024 11:35
9,"[235, 384, 1171, 1328]",snapshot_2,Absent,18-07-2024 11:35
10,"[255, 410, 1422, 1600]",snapshot_2,Absent,18-07-2024 11:35
1,"[308, 502, 358, 522]",snapshot_3,Absent,18-07-2024 11:38
2,"[361, 546, 593, 830]",snapshot_3,Absent,18-07-2024 11:39
3,"[360, 601, 988, 1163]",snapshot_3,Absent,18-07-2024 11:39
4,"[429, 641, 1290, 1557]",snapshot_3,Absent,18-07-2024 11:39
5,"[175, 284, 265, 431]",snapshot_3,Absent,18-07-2024 11:39
6,"[179, 293, 478, 596]",snapshot_3,Absent,18-07-2024 11:39
7,"[184, 345, 647, 844]",snapshot_3,Absent,18-07-2024 11:39
8,"[215, 353, 898, 1079]",snapshot_3,Absent,18-07-2024 11:39
9,"[235, 384, 1171, 1328]",snapshot_3,Absent,18-07-2024 11:39
10,"[255, 410, 1422, 1600]",snapshot_3,Absent,18-07-2024 11:39
